Time,Query,Approach,Tuples
10.27,3,UBF(i)(f),8
37.5,4,UBF(i)(f),11
10.23,5,UBF(i)(f),9
10.4,6,UBF(i)(f),14
29.43,9,UBF(i)(f),8
30.04,10,UBF(i)(f),14
23.52,11,UBF(i)(f),13
24.24,12,UBF(i)(f),29
10.23,3,UBF(f),8
37.62,4,UBF(f),11
10.45,5,UBF(f),9
10.15,6,UBF(f),14
29.21,9,UBF(f),8
30.17,10,UBF(f),14
23.6,11,UBF(f),13
23.59,12,UBF(f),29
